demand_node_index,truck_node_index,distance,scaled_demand
demand34,truck8,506.0114785500885,0
demand34,truck9,429.5229325383754,0
demand34,truck13,473.3304348747746,0
demand34,truck17,252.0718904298995,4
demand34,truck27,306.2301258202879,0
demand34,truck28,234.41499936995487,5
demand34,truck29,154.17069614383712,11
demand34,truck30,117.67869521547604,14
demand34,truck32,167.77665450262927,10
demand34,truck35,113.07963417695751,14
demand34,truck36,136.16370167925194,12
demand34,truck43,246.61678059662023,4
demand34,truck52,263.8315199967908,3
demand34,truck54,191.21821609014577,8
demand34,truck55,170.8862768706499,10
demand34,truck56,156.21534368401117,11
demand35,truck8,558.040363795707,0
demand35,truck9,481.5518177839939,0
demand35,truck13,525.3593201203931,0
demand35,truck17,304.100775675518,0
demand35,truck27,363.87038910940424,0
demand35,truck28,292.0552626590712,2
demand35,truck29,211.81095943295347,22
demand35,truck30,169.70758046109455,33
demand35,truck32,164.53222796693927,34
demand35,truck35,170.71989746607386,32
demand35,truck36,193.8039649683683,27
demand35,truck43,302.8326478312745,0
demand35,truck52,315.8604052424093,0
demand35,truck54,243.24710133576426,14
demand35,truck55,167.64185033495994,33
demand35,truck56,126.85786884032552,43
demand38,truck8,596.6923257047914,0
demand38,truck9,520.2037796930783,0
demand38,truck13,564.0112820294776,0
demand38,truck17,342.75273758460247,0
demand38,truck27,396.91097297499084,0
demand38,truck28,325.0958465246578,0
demand38,truck29,244.8515432985401,8
demand38,truck30,208.359542370179,14
demand38,truck32,228.84556262200437,11
demand38,truck35,203.7604813316605,14
demand38,truck36,226.84454883395492,11
demand38,truck43,205.52086581783922,14
demand38,truck52,354.5123671514938,0
demand38,truck54,281.8990632448487,3
demand38,truck55,70.33006832152464,30
demand38,truck56,217.28425180338627,12
demand40,truck8,637.7811324553995,0
demand40,truck9,561.2925864436863,0
demand40,truck13,605.1000887800857,0
demand40,truck17,383.8415443352105,0
demand40,truck27,437.9997797255988,0
demand40,truck28,366.18465327526576,0
demand40,truck29,285.940350049148,2
demand40,truck30,249.44834912078696,8
demand40,truck32,285.56008807123374,2
demand40,truck35,244.84928808226843,8
demand40,truck36,228.41182832902152,11
demand40,truck43,123.0247937487199,27
demand40,truck52,395.6011739021018,0
demand40,truck54,322.9878699954567,0
demand40,truck55,111.41887507213262,28
demand40,truck56,275.2442613843562,4
demand41,truck8,503.1157499150164,0
demand41,truck9,552.4531315978196,0
demand41,truck13,470.4347062397025,0
demand41,truck17,425.62379746965536,0
demand41,truck27,285.78127963041845,1
demand41,truck28,213.96615318008543,6
demand41,truck29,291.52026514099134,1
demand41,truck30,345.40799885896166,0
demand41,truck32,452.47257929220666,0
demand41,truck35,250.72699349175952,4
demand41,truck36,229.36449917074913,5
demand41,truck43,179.67042564282232,9
demand41,truck52,386.76171905623505,0
demand41,truck54,364.7701231299016,0
demand41,truck55,277.09472946369453,2
demand41,truck56,440.92011577591813,0
demand45,truck8,386.4932742086233,0
demand45,truck9,458.26818542172606,0
demand45,truck13,353.8122305333094,0
demand45,truck17,417.73491751883313,0
demand45,truck27,211.15394860710163,22
demand45,truck28,269.8125301385002,8
demand45,truck29,347.36664209940614,0
demand45,truck30,402.13996005153234,0
demand45,truck32,510.6377838415689,0
demand45,truck35,307.45895468433014,0
demand45,truck36,286.0964603633198,3
demand45,truck43,308.3208645558392,0
demand45,truck52,312.1343880329182,0
demand45,truck54,384.8925764262477,0
demand45,truck55,405.74516837671143,0
demand45,truck56,497.3113360465742,0
demand51,truck8,331.53922202947933,0
demand51,truck9,254.80317522827193,5
demand51,truck13,325.95780302458144,0
demand51,truck17,103.82686181681323,20
demand51,truck27,321.49342875057107,0
demand51,truck28,313.41355920947495,0
demand51,truck29,233.1692559833572,7
demand51,truck30,240.6922477151608,6
demand51,truck32,381.2541047147486,0
demand51,truck35,275.2717894569615,2
demand51,truck36,298.355856959256,0
demand51,truck43,408.8089358766243,0
demand51,truck52,205.27790014750036,9
demand51,truck54,160.67592948802363,14
demand51,truck55,397.21394931977903,0
demand51,truck56,222.50498264837424,8
